participant_id,duration,energy,min_pitch,max_pitch,mean_pitch,pitch_sd,pitch_abs,pitch_quant,pitchUvsVRatio,diffPitchMaxMin,diffPitchMaxMean,diffPitchMaxMode,intensityMin,intensityMax,intensityMean,intensitySD,intensityQuant,diffIntMaxMin,diffIntMaxMean,diffIntMaxMode,avgVal1,avgBand2,jitter,shimmer,numVoiceBreaks,PercentBreaks,speakRate,numPause,maxDurPause,avgDurPause,TotDurPause:3,iInterval,MaxRising:3,MaxFalling:3
P1,31.016174999999997,0.007564239001050401,81.92659320952494,317.47618674256324,124.61543330394223,22.38483251703634,145.3539781470077,118.38717008062588,1.0686181977239144,235.5495935330383,192.86075343862097,199.08901666145582,36.02999068876393,70.58062041987176,56.99622373995264,7.952244992073631,51.78664453728955,34.550629731190035,13.584396679799093,18.793975882178238,652.1375726830795,517.9533174860505,0.02049799999999999,0.17155,73.1,0.450251,0.0008902415999999999,30.9,2.336772916666667,0.5464,16.4759,74.3,189.014,178.7421
P10,59.41677083333333,0.02115357116785864,75.35234145637675,322.76949589456854,111.82920961982768,25.085972596940486,158.03751080319338,105.72849488530369,0.8639045019295182,247.4171544381918,210.9402862725936,217.04100100187088,34.89277126374973,71.69044802775934,58.68945016608187,9.531686381466903,51.53323783511091,36.79767676368001,13.000997861904105,20.157210192448407,656.4554587483619,597.8333425579166,0.01835599999999999,0.163518,110.1,0.389159,0.0004030228,44.7,2.9962666666666666,0.7283999999999999,31.090999999999998,116.2,195.3989,203.96790000000001
P11,40.639958333333325,0.0053905098277687,75.39647904011775,395.79807896728914,187.24865622872633,37.5723906988641,244.5986939446374,184.6533823128259,0.6639688308784217,320.401599924734,208.5494227356582,211.14469665155866,35.60576908651501,67.43373126876327,54.65354666241782,6.701126320138667,51.34503642137861,31.827962182215867,12.780184606636602,16.088694846970103,651.0442221363539,526.6456011216414,0.019281,0.16777399999999998,100.5,0.37968599999999997,0.0004765727,38.9,2.099628125,0.5067999999999999,20.2795,106.1,188.9338,196.7502
P12,33.917802083333335,0.00912556439422665,77.43172043295623,347.55670585110676,191.6997370548208,37.924956740901116,277.43286776297447,192.33714454580615,0.7047065592971813,270.1249854210191,155.85696879955373,155.21956130240576,34.38466757283432,72.38941495714235,57.88065228899251,8.03926865183695,52.799415868970506,38.004747383467326,14.508762667729684,19.589999087872688,639.0068928243074,580.3376083284703,0.021062,0.15373900000000001,78.1,0.37468099999999993,0.0005860208,25.4,3.870859374966667,0.8279,21.5163,82.2,154.56990000000002,158.1233
P13,48.96075416666667,0.0014528549,75.16162852218318,322.9855287303025,179.73896998384464,41.38456692402545,252.09577472380334,188.93597887888936,1.2233754607207532,247.82390020827134,143.24655874601555,134.04954985141316,34.298362630392674,61.511294812021525,48.403753128913394,5.170496866211534,45.23038623045611,27.212932181693464,13.107541683246712,16.280908581809364,619.8793397927872,652.4771676675989,0.02486399999999999,0.18604,123.6,0.5163610000000001,0.0005840361,37.3,2.5915458333333325,0.6279,23.531399999999998,131.4,178.7732,170.50889999999998
P14,43.499306250000004,0.015530324991162409,74.81478023376127,380.6718584789092,195.78387483568423,45.3648235565078,259.0077163187967,189.64276772545026,0.8354138615553766,305.8570782422783,184.88798363950102,191.02909075096085,36.229369744897625,73.68724875642167,59.0657896772626,7.755169093374055,53.95115747014787,37.45787901158145,14.621459079565266,19.736091286179825,662.0366749565912,609.2625020442098,0.022071,0.15846,99.8,0.42595599999999995,0.0004907833,38.8,2.715260416633334,0.636,24.499,103.6,221.06900000000002,203.1364
P15,91.25802916666667,0.012960816933864642,69.10126785140906,390.7210725082617,173.95795482982763,39.761638171498994,222.81762417457716,170.36945616250625,1.0803404505440626,321.6198046565313,216.76311767843413,220.35161634183333,34.6728790309871,71.02865675818967,55.389503916709714,7.689378180531234,50.590114851519246,36.35577772669078,15.639152841252477,20.438541906707137,644.3928007712532,547.2634472538854,0.01951799999999999,0.16070299999999998,210.7,0.49714,0.000251649,84.7,2.570666666666666,0.6053,50.58540000000001,224.2,249.01069999999999,242.02669999999998
P16,87.86732916666666,0.01510537837212488,76.08568407258318,391.83519972110673,212.39655700865472,42.84753031882067,260.1287876097922,206.15724746778884,0.9356537677063335,315.74951564930814,179.4386427164654,185.67795225331793,35.25877393507838,71.80608168898218,55.858434960557496,7.31468181845609,51.100464897920936,36.54730775435344,15.947646729305095,20.705616791460972,649.625846799058,541.5081340869743,0.021575999999999977,0.16743999999999998,212.6,0.46240500000000007,0.0002924093,73.8,3.3695999999999984,0.6718,49.4699,224.6,228.8016,229.18559999999997
P17,65.84317708333333,0.0066973700840904,74.06077778396823,389.7849220072479,190.33913490894042,65.89113128338118,259.7338716565429,195.38753801309926,1.764362695587225,315.72414422359486,199.44578709830753,194.3973839941487,34.84091812552158,69.15167242228264,52.641144592254115,6.509122843004759,46.92247121514552,34.31075429685383,16.510527830170513,22.2292012074518,672.0574720202944,642.5870837639638,0.022937,0.17395999999999998,147.0,0.561474,0.0005173431999999999,48.3,6.195883333333335,0.9853999999999999,39.5073,155.8,223.00439999999998,223.137
P20,40.568975,0.0025690913,76.00792021396319,383.4263425412279,199.33500428733487,58.136826918023054,325.6122816074773,212.80799168380923,1.04723424586012,307.4184223267776,184.09133825277127,170.61835085588615,35.10099917684984,65.01204508169565,51.67075154549279,6.3612331890851,47.18454163751521,29.91104590485433,13.34129353656041,17.82750344453799,636.6121833818102,734.6810107690197,0.032445,0.169272,85.8,0.49143599999999993,0.0005497832,31.8,4.6176,0.6807000000000001,21.8065,91.2,188.4628,213.56779999999998
